时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-14 13:48:05.076449,1429,126.62384520,45.80166230,102.992,0.000,111.006,-0.260,108.257,-0.248,0.000,0.000,0.000,0.000,0.000,0.000,0.359,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:05.185797,1019,126.62384480,45.80166210,103.007,0.070,110.984,-0.256,108.226,-0.260,0.000,0.000,0.000,0.000,0.000,0.000,0.362,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:05.295850,699,126.62384450,45.80166190,103.075,0.252,110.961,-0.248,108.203,-0.238,0.000,0.000,0.000,0.000,0.000,0.000,0.356,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:05.405898,469,126.62384430,45.80166160,103.184,0.438,110.928,-0.224,108.187,-0.228,0.000,0.000,0.000,0.000,0.000,0.000,0.343,6.392,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:05.516022,149,126.62384400,45.80166140,103.248,0.466,110.906,-0.232,108.164,-0.235,0.000,0.000,0.000,0.000,0.000,0.000,0.331,6.392,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:05.626131,9809,126.62384370,45.80166110,103.254,0.398,110.872,-0.220,108.141,-0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.323,6.392,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:05.736243,9589,126.62384350,45.80166080,103.235,0.315,110.839,-0.214,108.125,-0.237,0.000,0.000,0.000,0.000,0.000,0.000,0.323,6.392,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:05.846345,9169,126.62384310,45.80166060,103.260,0.305,110.817,-0.205,108.094,-0.212,0.000,0.000,0.000,0.000,0.000,0.000,0.311,6.392,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:05.956435,8839,126.62384280,45.80166030,103.356,0.368,110.784,-0.224,108.071,-0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.314,6.392,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:06.066555,8519,126.62384250,45.80166010,103.447,0.414,110.761,-0.225,108.048,-0.248,0.000,0.000,0.000,0.000,0.000,0.000,0.319,6.392,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:06.176648,8099,126.62384210,45.80165990,103.481,0.445,110.739,-0.246,108.017,-0.258,0.000,0.000,0.000,0.000,0.000,0.000,0.340,6.392,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:06.286766,7779,126.62384180,45.80165970,103.558,0.501,110.717,-0.240,107.994,-0.254,0.000,0.000,0.000,0.000,0.000,0.000,0.347,6.392,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:06.396856,7449,126.62384150,45.80165940,103.534,0.417,110.683,-0.233,107.970,-0.233,0.000,0.000,0.000,0.000,0.000,0.000,0.345,6.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:06.506965,7129,126.62384120,45.80165920,103.582,0.362,110.661,-0.216,107.947,-0.248,0.000,0.000,0.000,0.000,0.000,0.000,0.336,6.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:06.617089,6709,126.62384080,45.80165900,103.715,0.425,110.639,-0.212,107.916,-0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.326,6.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:06.727194,6389,126.62384050,45.80165880,103.821,0.514,110.617,-0.209,107.893,-0.241,0.000,0.000,0.000,0.000,0.000,0.000,0.323,6.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:06.837292,6069,126.62384020,45.80165860,103.840,0.550,110.594,-0.262,107.869,-0.236,0.000,0.000,0.000,0.000,0.000,0.000,0.331,6.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:06.947474,5749,126.62383990,45.80165840,103.785,0.476,110.572,-0.283,107.846,-0.252,0.000,0.000,0.000,0.000,0.000,0.000,0.350,6.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:07.057508,5319,126.62383950,45.80165810,103.715,0.326,110.539,-0.289,107.815,-0.272,0.000,0.000,0.000,0.000,0.000,0.000,0.376,6.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:07.167606,4899,126.62383910,45.80165790,103.715,0.243,110.517,-0.278,107.784,-0.295,0.000,0.000,0.000,0.000,0.000,0.000,0.394,6.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:07.277711,4369,126.62383860,45.80165760,103.790,0.280,110.483,-0.218,107.745,-0.234,0.000,0.000,0.000,0.000,0.000,0.000,0.374,6.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:07.387805,4149,126.62383840,45.80165740,103.874,0.286,110.461,-0.231,107.730,-0.226,0.000,0.000,0.000,0.000,0.000,0.000,0.349,6.339,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:07.497914,3929,126.62383820,45.80165720,103.933,0.362,110.439,-0.234,107.714,-0.235,0.000,0.000,0.000,0.000,0.000,0.000,0.325,6.339,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:07.608012,3609,126.62383790,45.80165700,103.939,0.323,110.417,-0.233,107.691,-0.233,0.000,0.000,0.000,0.000,0.000,0.000,0.328,6.339,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:07.718223,3279,126.62383760,45.80165670,103.893,0.161,110.383,-0.246,107.668,-0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.335,6.339,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:07.828220,3059,126.62383740,45.80165650,103.829,0.008,110.361,-0.261,107.652,-0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.339,6.339,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:07.938320,2619,126.62383700,45.80165620,103.791,-0.044,110.328,-0.220,107.621,-0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.332,6.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:08.048456,2309,126.62383670,45.80165600,103.832,0.043,110.305,-0.199,107.598,-0.235,0.000,0.000,0.000,0.000,0.000,0.000,0.320,6.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:08.168567,1889,126.62383630,45.80165580,103.897,0.160,110.283,-0.186,107.567,-0.249,0.000,0.000,0.000,0.000,0.000,0.000,0.309,6.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:08.278738,1459,126.62383590,45.80165550,103.907,0.170,110.250,-0.215,107.536,-0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.316,6.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:08.388740,1239,126.62383570,45.80165530,103.893,0.089,110.228,-0.242,107.521,-0.211,0.000,0.000,0.000,0.000,0.000,0.000,0.321,6.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:08.498936,919,126.62383540,45.80165510,103.845,-0.031,110.205,-0.252,107.497,-0.212,0.000,0.000,0.000,0.000,0.000,0.000,0.327,6.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:08.608968,689,126.62383520,45.80165480,103.797,-0.127,110.172,-0.239,107.482,-0.247,0.000,0.000,0.000,0.000,0.000,0.000,0.331,6.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:08.719070,369,126.62383490,45.80165460,103.783,-0.146,110.150,-0.229,107.459,-0.262,0.000,0.000,0.000,0.000,0.000,0.000,0.340,6.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:08.829175,9939,126.62383450,45.80165440,103.773,-0.114,110.127,-0.211,107.428,-0.238,0.000,0.000,0.000,0.000,0.000,0.000,0.337,6.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:08.939277,9619,126.62383420,45.80165410,103.727,-0.097,110.094,-0.217,107.404,-0.246,0.000,0.000,0.000,0.000,0.000,0.000,0.331,6.339,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:09.059388,9299,126.62383390,45.80165390,103.641,-0.135,110.072,-0.249,107.381,-0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.331,6.339,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:09.179515,8869,126.62383350,45.80165360,103.578,-0.224,110.038,-0.249,107.350,-0.251,0.000,0.000,0.000,0.000,0.000,0.000,0.342,6.339,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:09.299629,8449,126.62383310,45.80165340,103.581,-0.276,110.016,-0.230,107.319,-0.221,0.000,0.000,0.000,0.000,0.000,0.000,0.339,6.339,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:09.420211,8119,126.62383280,45.80165310,103.608,-0.262,109.983,-0.211,107.296,-0.266,0.000,0.000,0.000,0.000,0.000,0.000,0.337,6.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:09.539883,7899,126.62383260,45.80165290,103.568,-0.284,109.961,-0.215,107.280,-0.276,0.000,0.000,0.000,0.000,0.000,0.000,0.336,6.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:09.659972,7569,126.62383230,45.80165260,103.461,-0.329,109.927,-0.295,107.257,-0.269,0.000,0.000,0.000,0.000,0.000,0.000,0.363,6.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:09.780081,7249,126.62383200,45.80165240,103.344,-0.383,109.905,-0.238,107.234,-0.247,0.000,0.000,0.000,0.000,0.000,0.000,0.364,6.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:09.900210,6819,126.62383160,45.80165210,103.261,-0.439,109.872,-0.238,107.203,-0.260,0.000,0.000,0.000,0.000,0.000,0.000,0.365,6.392,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:10.020323,6389,126.62383120,45.80165180,103.193,-0.487,109.838,-0.236,107.172,-0.228,0.000,0.000,0.000,0.000,0.000,0.000,0.341,6.392,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:10.130414,5965,126.62383080,45.80165150,103.120,-0.512,109.805,-0.235,107.141,-0.230,215.660,1.200,0.000,0.000,0.000,0.000,0.336,6.392,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:10.240526,5645,126.62383050,45.80165130,147.139,-0.506,109.783,-0.232,107.118,-0.234,215.670,1.200,0.000,30.000,0.148,0.000,0.329,6.392,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:10.350633,5325,126.62383020,45.80165110,147.045,-0.539,109.761,-0.231,107.094,-0.226,215.690,1.200,0.000,30.000,0.297,0.000,0.327,6.392,0.000,0.000,1.421,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:48:10.460750,4996,126.62382990,45.80165080,147.107,-0.485,109.727,-0.219,107.071,-0.264,215.700,1.200,0.000,30.000,0.447,0.000,0.332,16.129,0.000,0.000,0.746,-0.674,0.000,1.000,0.000,0.000,1.000,-0.000
2025-07-14 13:48:10.570927,4576,126.62382950,45.80165060,147.264,-0.365,109.705,-0.208,107.040,-0.238,215.720,1.200,0.000,30.000,0.596,0.000,0.327,16.129,0.000,0.000,0.713,-0.707,0.000,1.000,0.000,0.000,0.999,-0.000
2025-07-14 13:48:10.680957,4146,126.62382910,45.80165030,147.305,-0.294,109.672,-0.228,107.009,-0.248,215.730,1.200,0.000,30.000,0.745,0.000,0.332,16.129,0.000,0.000,0.713,-0.708,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-14 13:48:10.791041,3826,126.62382880,45.80165010,147.211,-0.290,109.649,-0.211,106.986,-0.204,215.740,1.200,0.000,30.000,0.894,0.000,0.315,16.129,0.000,0.000,0.711,-0.710,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-14 13:48:10.901156,3396,126.62382840,45.80164980,147.042,-0.345,109.616,-0.221,106.955,-0.206,215.750,1.200,0.000,30.000,1.046,0.000,0.311,32.813,0.000,0.000,0.709,-0.712,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-14 13:48:11.011271,3076,126.62382810,45.80164960,146.943,-0.366,109.594,-0.231,106.931,-0.205,215.760,1.200,0.000,30.000,1.198,0.000,0.301,32.813,0.000,0.000,0.708,-0.713,0.000,1.000,0.000,0.000,0.998,-0.001
2025-07-14 13:48:11.121357,2646,126.62382770,45.80164930,146.913,-0.336,109.560,-0.216,106.900,-0.220,215.770,1.200,0.000,30.000,1.352,0.000,0.306,32.813,0.000,0.000,0.709,-0.712,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-14 13:48:11.231457,2226,126.62382730,45.80164910,146.930,-0.255,109.538,-0.202,106.869,-0.238,215.790,1.200,0.000,30.000,1.505,0.000,0.310,32.813,0.000,0.000,0.710,-0.711,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-14 13:48:11.341575,1904,126.62382700,45.80164890,146.971,-0.151,109.516,-0.181,106.846,-0.203,215.800,1.200,0.000,30.000,1.658,0.000,0.297,32.813,0.000,0.000,0.711,-0.710,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-14 13:48:11.451679,1694,126.62382680,45.80164880,147.009,-0.031,109.505,-0.177,106.831,-0.211,215.820,1.200,0.000,30.000,1.812,0.000,0.287,32.813,0.000,0.000,0.711,-0.710,0.000,1.000,0.000,0.000,0.997,-0.002
2025-07-14 13:48:11.561779,1384,126.62382650,45.80164870,147.030,-0.069,109.494,-0.187,106.807,-0.195,215.830,1.200,0.000,30.000,1.969,0.000,0.273,32.813,0.000,0.000,0.711,-0.710,0.000,1.000,0.000,0.000,0.997,-0.003
2025-07-14 13:48:11.671883,1164,126.62382630,45.80164850,146.995,-0.243,109.471,-0.182,106.792,-0.200,215.840,1.200,0.000,30.000,2.128,0.000,0.272,32.813,0.000,0.000,0.711,-0.710,0.000,1.000,0.000,0.000,0.997,-0.003
2025-07-14 13:48:11.781998,854,126.62382600,45.80164840,146.886,-0.380,109.460,-0.220,106.769,-0.238,215.850,1.200,0.000,30.000,2.287,0.000,0.288,32.813,0.000,0.000,0.710,-0.711,0.000,1.000,0.000,0.000,0.997,-0.003
2025-07-14 13:48:11.892123,537,126.62382570,45.80164820,146.787,-0.383,109.438,-0.210,106.745,-0.264,215.870,1.200,0.000,30.000,2.443,0.000,0.311,32.813,0.000,0.000,0.709,-0.712,0.000,1.000,0.000,0.000,0.996,-0.003
2025-07-14 13:48:12.002205,127,126.62382530,45.80164810,146.745,-0.269,109.427,-0.242,106.714,-0.246,215.880,1.200,0.000,30.000,2.595,0.000,0.336,32.813,0.000,0.000,0.709,-0.712,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:48:12.112309,9717,126.62382490,45.80164800,146.804,-0.126,109.416,-0.207,106.683,-0.282,215.890,1.200,0.000,30.000,2.743,0.000,0.344,32.813,0.000,0.000,0.710,-0.711,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:48:12.222446,9208,126.62382440,45.80164790,146.913,0.001,109.405,-0.163,106.645,-0.307,215.900,1.200,0.000,30.000,2.890,0.000,0.347,32.813,0.000,0.000,0.711,-0.709,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:48:12.332553,8878,126.62382410,45.80164770,147.004,0.068,109.382,-0.230,106.621,-0.186,215.900,1.200,0.000,30.000,3.036,0.000,0.331,32.813,0.000,0.000,0.712,-0.709,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:48:12.442611,8758,126.62382400,45.80164740,147.036,0.060,109.349,-0.317,106.614,-0.183,215.910,1.200,0.000,30.000,3.185,0.000,0.336,32.813,0.000,0.000,0.712,-0.709,0.000,1.000,0.000,0.000,0.995,-0.004
2025-07-14 13:48:12.552757,8618,126.62382390,45.80164710,147.037,0.026,109.316,-0.356,106.606,-0.142,215.940,1.200,0.000,30.000,3.333,0.000,0.348,32.813,0.000,0.000,0.711,-0.710,0.000,1.000,0.000,0.000,0.995,-0.005
2025-07-14 13:48:12.662940,8398,126.62382370,45.80164680,147.177,0.134,109.282,-0.341,106.590,-0.208,215.950,1.200,0.000,30.000,3.479,0.000,0.383,32.813,0.000,0.000,0.710,-0.710,0.000,1.000,0.000,0.000,0.995,-0.005
2025-07-14 13:48:12.772930,8058,126.62382340,45.80164650,147.592,0.544,109.249,-0.351,106.567,-0.115,215.970,1.200,0.000,30.000,3.619,0.000,0.384,32.813,0.000,0.000,0.713,-0.708,0.000,1.000,0.000,0.000,0.995,-0.005
2025-07-14 13:48:12.883042,7638,126.62382300,45.80164620,148.097,1.102,109.216,-0.316,106.536,-0.167,215.990,1.200,0.000,30.000,3.759,0.000,0.375,33.023,0.000,0.000,0.717,-0.704,0.000,1.000,0.000,0.000,0.995,-0.005
2025-07-14 13:48:12.993145,7209,126.62382260,45.80164600,148.683,1.719,109.193,-0.343,106.505,-0.054,216.000,1.200,0.000,30.000,3.900,0.000,0.358,33.023,0.000,0.000,0.719,-0.702,0.000,1.000,0.000,0.000,0.994,-0.005
2025-07-14 13:48:13.103244,6789,126.62382220,45.80164580,149.162,2.192,109.171,-0.332,106.474,-0.088,216.010,1.200,0.000,30.000,4.044,0.000,0.349,33.023,0.000,0.000,0.720,-0.701,0.000,1.000,0.000,0.000,0.994,-0.006
2025-07-14 13:48:13.213359,6169,126.62382160,45.80164560,149.886,2.797,109.149,-0.319,106.428,-0.139,216.020,1.200,0.000,30.000,4.190,0.000,0.346,33.023,0.000,0.000,0.718,-0.702,0.000,1.000,0.000,0.000,0.994,-0.006
2025-07-14 13:48:13.323456,6029,126.62382150,45.80164520,150.793,3.522,109.104,-0.406,106.420,-0.055,216.030,1.200,0.000,30.000,4.336,0.000,0.367,33.023,0.000,0.000,0.722,-0.698,0.000,1.000,0.000,0.000,0.994,-0.006
2025-07-14 13:48:13.433569,6379,126.62382190,45.80164470,152.136,4.661,109.049,-0.314,106.451,0.040,216.040,1.200,0.000,30.000,4.479,0.000,0.358,33.602,0.000,0.000,0.725,-0.695,0.000,1.000,0.000,0.000,0.994,-0.006
2025-07-14 13:48:13.543675,6529,126.62382210,45.80164420,153.451,5.827,108.993,-0.354,106.466,0.124,216.060,1.200,0.000,30.000,4.623,0.000,0.367,33.602,0.000,0.000,0.732,-0.688,0.000,1.000,0.000,0.000,0.993,-0.006
2025-07-14 13:48:13.653774,6690,126.62382230,45.80164380,155.093,7.319,108.949,-0.294,106.482,0.080,216.100,1.200,0.000,30.000,4.765,0.000,0.332,33.602,0.000,0.000,0.732,-0.688,0.000,1.000,0.000,0.000,0.993,-0.007
2025-07-14 13:48:13.763879,6760,126.62382240,45.80164350,156.685,8.639,108.915,-0.425,106.490,0.174,216.130,1.200,0.000,30.000,4.914,0.000,0.380,33.602,0.000,0.000,0.737,-0.683,0.000,1.000,0.000,0.000,0.993,-0.007
2025-07-14 13:48:13.873986,6720,126.62382240,45.80164310,158.763,10.151,108.871,-0.388,106.490,0.133,216.160,1.200,0.000,30.000,5.054,0.000,0.391,33.602,0.000,0.000,0.737,-0.684,0.000,1.000,0.000,0.000,0.993,-0.007
2025-07-14 13:48:13.984087,6793,126.62382250,45.80164280,160.799,11.542,108.838,-0.375,106.497,0.233,216.180,1.200,0.000,30.000,5.193,0.000,0.437,33.602,0.000,0.000,0.744,-0.676,0.000,1.000,0.000,0.000,0.993,-0.007
2025-07-14 13:48:14.094191,6874,126.62382260,45.80164260,163.188,13.167,108.815,-0.302,106.505,0.247,216.200,1.200,0.000,30.000,5.324,0.000,0.414,33.602,0.000,0.000,0.744,-0.676,0.000,1.000,0.000,0.000,0.992,-0.007
2025-07-14 13:48:14.214300,6954,126.62382270,45.80164240,165.233,14.436,108.793,-0.256,106.513,0.277,216.220,1.200,0.000,30.000,5.458,0.000,0.403,33.602,0.000,0.000,0.750,-0.671,0.000,1.000,0.000,0.000,0.992,-0.007
2025-07-14 13:48:14.324420,7414,126.62382320,45.80164200,167.768,16.082,108.749,-0.384,106.552,0.269,216.240,1.200,0.000,30.000,5.595,0.000,0.412,33.602,0.000,0.000,0.745,-0.676,0.000,1.000,0.000,0.000,0.992,-0.008
2025-07-14 13:48:14.434520,8154,126.62382400,45.80164140,169.911,17.206,108.682,-0.545,106.614,0.263,216.260,1.200,0.000,30.000,5.730,0.000,0.484,33.602,0.000,0.000,0.752,-0.668,0.000,1.000,0.000,0.000,0.992,-0.008
2025-07-14 13:48:14.544655,9098,126.62382500,45.80164080,172.581,18.412,108.615,-0.603,106.691,0.234,216.300,1.200,0.000,30.000,5.852,0.000,0.574,33.602,0.000,0.000,0.746,-0.674,0.000,1.000,0.000,0.000,0.992,-0.008
2025-07-14 13:48:14.654726,9751,126.62382570,45.80164030,175.068,19.477,108.560,-0.563,106.745,0.259,216.340,1.200,0.000,30.000,5.959,0.000,0.624,33.602,0.000,0.000,0.754,-0.666,0.000,1.000,0.000,0.000,0.992,-0.008
2025-07-14 13:48:14.764843,592,126.62382660,45.80163970,177.911,20.569,108.493,-0.559,106.815,0.236,216.400,1.200,0.000,30.000,6.058,0.000,0.624,33.602,0.000,0.000,0.752,-0.669,0.000,1.000,0.000,0.000,0.992,-0.008
2025-07-14 13:48:14.874932,1252,126.62382730,45.80163930,-179.760,21.706,108.448,-0.540,106.869,0.269,216.440,1.200,0.000,30.000,6.157,0.000,0.610,33.602,0.000,0.000,0.757,-0.663,0.000,1.000,0.000,0.000,0.992,-0.008
2025-07-14 13:48:14.985041,2102,126.62382820,45.80163880,-177.168,22.174,108.393,-0.734,106.939,0.245,216.480,1.200,0.000,30.000,6.258,-0.000,0.661,33.550,0.000,0.000,0.757,-0.663,0.000,1.000,0.000,0.000,0.992,-0.008
2025-07-14 13:48:15.095222,2756,126.62382890,45.80163830,-174.933,22.336,108.337,-0.751,106.994,0.304,216.520,1.200,0.000,30.000,6.350,0.000,0.729,33.550,0.000,0.000,0.754,-0.667,0.000,1.000,0.000,0.000,0.991,-0.008
2025-07-14 13:48:15.205246,3699,126.62382990,45.80163770,-172.533,22.366,108.271,-0.756,107.071,0.348,216.560,1.200,0.000,30.000,6.431,0.000,0.805,33.550,0.000,0.000,0.748,-0.673,0.000,1.000,0.000,0.000,0.991,-0.008
2025-07-14 13:48:15.315357,4337,126.62383060,45.80163710,-170.372,22.626,108.204,-0.717,107.125,0.241,216.600,1.200,0.000,30.000,6.498,0.000,0.800,33.550,0.000,0.000,0.750,-0.670,0.000,1.000,0.000,0.000,0.991,-0.008
2025-07-14 13:48:15.425460,4517,126.62383090,45.80163590,-167.648,22.798,108.070,-0.744,107.149,0.111,216.650,1.200,0.000,30.000,6.567,0.000,0.780,33.602,0.000,0.000,0.747,-0.674,0.000,1.000,0.000,0.000,0.991,-0.008
2025-07-14 13:48:15.535561,4727,126.62383120,45.80163500,-165.159,23.113,107.970,-0.766,107.172,0.173,216.690,1.200,0.000,30.000,6.639,0.000,0.765,33.602,0.000,0.000,0.755,-0.665,0.000,1.000,0.000,0.000,0.991,-0.008
2025-07-14 13:48:15.645673,5118,126.62383170,45.80163390,-162.639,22.976,107.848,-0.779,107.211,0.232,216.730,1.200,0.000,28.524,6.713,0.000,0.783,33.602,0.000,0.000,0.752,-0.669,0.000,1.000,0.000,0.000,0.991,-0.009
2025-07-14 13:48:15.755783,5521,126.62383220,45.80163290,-160.579,22.588,107.737,-0.829,107.249,-0.017,216.770,1.200,0.000,25.410,6.784,0.000,0.809,33.602,0.000,0.000,0.770,-0.650,0.000,1.000,0.000,0.000,0.991,-0.009
2025-07-14 13:48:15.865872,5912,126.62383270,45.80163190,-158.151,22.211,107.626,-0.789,107.288,0.020,216.830,1.200,0.000,22.103,6.851,0.000,0.810,33.602,0.000,0.000,0.787,-0.631,0.000,1.000,0.000,0.000,0.991,-0.009
2025-07-14 13:48:15.975984,6332,126.62383320,45.80163100,-155.900,21.673,107.525,-0.906,107.327,-0.072,216.880,1.200,0.000,18.569,6.918,0.000,0.842,30.023,0.000,0.000,0.806,-0.609,0.000,1.000,0.000,0.000,0.991,-0.009
2025-07-14 13:48:16.086096,6833,126.62383380,45.80163010,-153.174,21.772,107.425,-0.908,107.373,-0.022,216.920,1.200,0.000,15.359,6.979,0.000,0.869,30.023,0.000,0.000,0.821,-0.591,0.000,1.000,0.000,0.000,0.991,-0.009
2025-07-14 13:48:16.196208,7346,126.62383440,45.80162910,-150.665,22.039,107.314,-0.947,107.420,0.053,216.970,1.200,0.000,11.877,7.036,0.000,0.922,30.023,0.000,0.000,0.845,-0.561,0.000,1.000,0.000,0.000,0.991,-0.009
2025-07-14 13:48:16.306298,7547,126.62383470,45.80162820,-147.231,22.979,107.214,-0.911,107.443,0.055,217.010,1.200,0.000,8.649,7.084,0.000,0.923,30.023,0.000,0.000,0.873,-0.526,0.000,1.000,0.000,0.000,0.991,-0.009
2025-07-14 13:48:16.416413,7017,126.62383430,45.80162690,-145.960,22.170,107.070,-0.940,107.412,0.082,217.060,1.200,0.000,4.823,7.131,0.000,0.935,17.708,0.000,0.000,0.931,-0.446,0.000,1.000,0.000,0.000,0.991,-0.009
2025-07-14 13:48:16.526513,6498,126.62383390,45.80162580,-144.964,20.600,106.947,-0.965,107.381,0.101,217.100,1.200,0.000,2.994,7.176,0.000,0.942,17.708,0.000,0.000,0.947,-0.418,0.000,1.000,0.000,0.000,0.991,-0.009
2025-07-14 13:48:16.636640,5951,126.62383350,45.80162460,-143.836,19.362,106.814,-1.080,107.350,-0.390,217.140,1.200,0.000,1.960,7.221,0.000,1.021,17.708,0.000,0.000,0.951,-0.412,0.000,1.000,0.000,0.000,0.991,-0.009
2025-07-14 13:48:16.746717,5531,126.62383320,45.80162340,-142.945,17.881,106.680,-1.018,107.327,-0.439,217.170,1.200,0.000,1.030,7.251,0.000,1.076,17.708,0.000,0.000,0.959,-0.398,0.000,1.000,0.000,0.000,0.991,-0.009
