时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-15 12:47:04.077150,1793,126.62289360,45.80108190,66.770,0.000,46.468,-0.064,34.489,0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.133,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:04.186515,1893,126.62289370,45.80108190,66.636,-1.222,46.468,-0.054,34.497,0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.123,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:04.296627,1783,126.62289360,45.80108180,66.742,0.961,46.457,-0.154,34.489,-0.065,0.000,0.000,0.000,0.000,0.000,0.000,0.137,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:04.406690,1453,126.62289330,45.80108150,67.053,2.832,46.424,-0.117,34.466,-0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.160,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:04.516783,1133,126.62289300,45.80108130,67.524,4.283,46.402,-0.042,34.442,-0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.168,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:04.626851,813,126.62289270,45.80108110,67.901,3.424,46.379,-0.035,34.419,-0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.155,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:04.736956,503,126.62289240,45.80108100,68.206,2.775,46.368,-0.069,34.396,-0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.127,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:04.847059,183,126.62289210,45.80108080,68.330,1.133,46.346,-0.059,34.373,-0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.112,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:04.957256,9973,126.62289190,45.80108070,68.358,0.246,46.335,-0.111,34.357,-0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.112,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:05.067282,9863,126.62289180,45.80108060,68.383,0.229,46.324,-0.114,34.349,-0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.115,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:05.177358,9633,126.62289160,45.80108040,68.509,1.145,46.302,-0.116,34.334,-0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.128,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:05.287484,9433,126.62289140,45.80108030,68.807,2.711,46.290,-0.149,34.318,-0.136,0.000,0.000,0.000,0.000,0.000,0.000,0.153,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:05.397567,9113,126.62289110,45.80108010,69.255,4.073,46.268,-0.092,34.295,-0.235,0.000,0.000,0.000,0.000,0.000,0.000,0.195,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:05.507684,8806,126.62289080,45.80108000,69.819,5.129,46.257,0.004,34.272,-0.248,0.000,0.000,0.000,0.000,0.000,0.000,0.234,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:05.617828,8396,126.62289040,45.80107990,70.240,3.825,46.246,0.024,34.241,-0.266,0.000,0.000,0.000,0.000,0.000,0.000,0.256,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:05.727905,7976,126.62289000,45.80107980,70.570,2.997,46.235,-0.043,34.210,-0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.228,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:05.837994,7673,126.62288970,45.80107970,70.769,1.814,46.224,-0.033,34.186,-0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.195,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:05.948108,7373,126.62288940,45.80107970,70.993,2.012,46.224,-0.162,34.163,-0.157,0.000,0.000,0.000,0.000,0.000,0.000,0.181,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:06.058237,7166,126.62288920,45.80107960,71.280,2.615,46.213,-0.173,34.148,-0.163,0.000,0.000,0.000,0.000,0.000,0.000,0.204,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:06.168358,6856,126.62288890,45.80107950,71.757,4.334,46.201,-0.182,34.124,-0.179,0.000,0.000,0.000,0.000,0.000,0.000,0.240,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:06.278508,6446,126.62288850,45.80107940,72.218,4.187,46.190,-0.099,34.093,-0.274,0.000,0.000,0.000,0.000,0.000,0.000,0.261,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:06.388529,6036,126.62288810,45.80107930,72.714,4.512,46.179,-0.036,34.062,-0.270,0.000,0.000,0.000,0.000,0.000,0.000,0.273,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:06.498616,5516,126.62288760,45.80107920,73.105,3.557,46.168,-0.034,34.024,-0.276,0.000,0.000,0.000,0.000,0.000,0.000,0.281,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:06.608728,5116,126.62288720,45.80107910,73.538,3.933,46.157,-0.019,33.993,-0.276,0.000,0.000,0.000,0.000,0.000,0.000,0.276,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:06.718837,4616,126.62288670,45.80107910,73.952,3.767,46.157,-0.088,33.954,-0.249,90.000,1.300,0.000,0.000,0.000,0.000,0.273,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:06.828924,4116,126.62288620,45.80107910,106.457,3.767,46.157,-0.071,33.915,-0.265,90.000,1.300,0.000,9.629,0.171,0.000,0.272,-570.482,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:06.939030,3716,126.62288580,45.80107910,107.253,7.236,46.157,-0.087,33.884,-0.264,90.000,1.300,0.000,-5.604,0.343,0.000,0.272,-570.482,0.000,0.000,2.143,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 12:47:07.049218,3206,126.62288530,45.80107900,108.143,8.018,46.146,-0.095,33.845,-0.267,90.000,1.300,0.000,-5.623,0.514,0.000,0.279,-570.482,0.000,0.000,1.823,0.550,0.000,1.000,0.000,0.000,0.999,0.000
2025-07-15 12:47:07.179300,2706,126.62288480,45.80107900,108.894,5.777,46.146,-0.109,33.807,-0.238,90.000,1.300,0.000,-8.762,0.684,0.000,0.274,-570.482,0.000,0.000,1.332,0.061,0.000,1.000,0.000,0.000,0.999,0.000
2025-07-15 12:47:07.299383,2196,126.62288430,45.80107890,109.734,7.000,46.135,-0.097,33.768,-0.307,90.000,1.300,0.000,-14.660,0.855,0.000,0.289,-570.482,0.000,0.000,0.795,-0.283,0.000,1.000,0.000,0.000,0.999,0.000
2025-07-15 12:47:07.419587,1686,126.62288380,45.80107880,110.488,6.283,46.124,-0.081,33.729,-0.292,90.000,1.300,0.000,-25.761,1.023,0.000,0.296,-561.426,0.000,0.000,0.420,-0.507,0.000,1.000,0.000,0.000,0.999,0.000
2025-07-15 12:47:07.539595,1279,126.62288340,45.80107870,111.259,6.425,46.113,-0.029,33.698,-0.298,90.000,1.300,0.000,-30.000,1.191,0.000,0.308,-561.426,0.000,0.000,0.311,-0.570,0.000,1.000,0.000,0.000,0.998,0.000
2025-07-15 12:47:07.659741,779,126.62288290,45.80107870,112.105,7.050,46.113,-0.015,33.659,-0.307,90.000,1.300,0.000,-30.000,1.356,0.000,0.303,-561.426,0.000,0.000,0.394,-0.499,0.000,1.000,0.000,0.000,0.998,0.000
2025-07-15 12:47:07.779825,259,126.62288240,45.80107860,113.054,7.908,46.101,-0.077,33.621,-0.343,90.000,1.300,0.000,-30.000,1.522,0.000,0.319,-561.426,0.000,0.000,0.430,-0.462,0.000,1.000,0.000,0.000,0.998,0.000
2025-07-15 12:47:07.899949,9759,126.62288190,45.80107860,114.108,8.783,46.101,-0.074,33.582,-0.377,90.000,1.300,0.000,-30.000,1.685,0.000,0.348,-561.426,0.000,0.000,0.430,-0.462,0.000,1.000,0.000,0.000,0.998,0.000
2025-07-15 12:47:08.020062,9059,126.62288120,45.80107860,115.447,11.158,46.101,-0.017,33.528,-0.322,90.000,1.300,0.000,-30.000,1.844,0.000,0.353,-541.871,0.000,0.000,0.429,-0.464,0.000,1.000,0.000,0.000,0.997,0.000
2025-07-15 12:47:08.140171,8459,126.62288060,45.80107860,116.671,10.116,46.101,0.002,33.481,-0.305,90.000,1.300,0.000,-30.000,2.001,0.000,0.337,-541.871,0.000,0.000,0.424,-0.468,0.000,1.000,0.000,0.000,0.997,0.000
2025-07-15 12:47:08.260275,7959,126.62288010,45.80107860,117.779,9.233,46.101,-0.032,33.442,-0.327,90.000,1.300,0.000,-30.000,2.162,0.000,0.319,-541.871,0.000,0.000,0.426,-0.467,0.000,1.000,0.000,0.000,0.997,0.000
2025-07-15 12:47:08.370389,7559,126.62287970,45.80107850,118.676,8.155,46.090,-0.037,33.411,-0.336,90.000,1.300,0.000,-30.000,2.325,0.000,0.324,-541.871,0.000,0.000,0.428,-0.465,0.000,1.000,0.000,0.000,0.996,0.000
2025-07-15 12:47:08.480488,7149,126.62287930,45.80107840,119.478,7.291,46.079,-0.037,33.380,-0.369,90.000,1.300,0.000,-30.000,2.488,0.000,0.346,-541.815,0.000,0.000,0.431,-0.461,0.000,1.000,0.000,0.000,0.996,0.000
2025-07-15 12:47:08.590598,6649,126.62287880,45.80107840,120.311,7.573,46.079,-0.038,33.341,-0.401,90.000,1.300,0.000,-30.000,2.646,0.000,0.371,-541.815,0.000,0.000,0.433,-0.460,0.000,1.000,0.000,0.000,0.996,0.000
2025-07-15 12:47:08.700702,6052,126.62287820,45.80107840,121.600,11.718,46.079,-0.002,33.295,-0.481,90.000,1.300,0.000,-30.000,2.801,0.000,0.418,-541.815,0.000,0.000,0.432,-0.460,0.000,1.000,0.000,0.000,0.996,0.000
2025-07-15 12:47:08.810802,5449,126.62287760,45.80107840,122.950,12.273,46.079,-0.012,33.248,-0.290,90.000,1.300,0.000,-30.000,2.948,0.000,0.391,-541.815,0.000,0.000,0.425,-0.467,0.000,1.000,0.000,0.000,0.996,0.000
2025-07-15 12:47:08.920895,4749,126.62287690,45.80107840,124.467,13.791,46.079,-0.032,33.194,-0.260,90.000,1.300,0.000,-30.000,3.099,0.000,0.344,-541.648,0.000,0.000,0.424,-0.469,0.000,1.000,0.000,0.000,0.995,0.000
2025-07-15 12:47:09.031018,4246,126.62287640,45.80107840,125.577,10.091,46.079,-0.036,33.155,-0.245,90.000,1.300,0.000,-30.000,3.258,0.000,0.267,-541.648,0.000,0.000,0.421,-0.471,0.000,1.000,0.000,0.000,0.995,0.000
2025-07-15 12:47:09.141184,3646,126.62287580,45.80107840,126.554,8.802,46.079,-0.019,33.109,-0.243,90.000,1.300,0.000,-30.000,3.430,0.000,0.251,-541.648,0.000,0.000,0.427,-0.465,0.000,1.000,0.000,0.000,0.995,0.000
2025-07-15 12:47:09.251223,3046,126.62287520,45.80107840,127.094,4.909,46.079,-0.018,33.062,-0.269,90.000,1.300,0.000,-30.000,3.604,0.000,0.254,-541.648,0.000,0.000,0.430,-0.463,0.000,1.000,0.000,0.000,0.994,0.000
2025-07-15 12:47:09.361332,2946,126.62287510,45.80107840,127.889,7.227,46.079,-0.147,33.055,-0.223,90.000,1.300,0.000,-30.000,3.778,0.000,0.260,-541.648,0.000,0.000,0.437,-0.456,0.000,1.000,0.000,0.000,0.994,0.000
2025-07-15 12:47:09.471467,2646,126.62287480,45.80107840,128.941,9.564,46.079,-0.106,33.031,-0.266,90.000,1.300,0.000,-30.000,3.951,0.000,0.274,-541.704,0.000,0.000,0.433,-0.459,0.000,1.000,0.000,0.000,0.994,0.000
2025-07-15 12:47:09.581536,2346,126.62287450,45.80107840,129.874,8.482,46.079,-0.122,33.008,-0.133,90.000,1.300,0.000,-30.000,4.122,0.000,0.245,-541.704,0.000,0.000,0.429,-0.463,0.000,1.000,0.000,0.000,0.994,0.000
2025-07-15 12:47:09.691655,2046,126.62287420,45.80107840,130.703,7.536,46.079,-0.121,32.985,-0.133,90.000,1.300,0.000,-30.000,4.297,0.000,0.216,-541.704,0.000,0.000,0.431,-0.462,0.000,1.000,0.000,0.000,0.993,0.000
2025-07-15 12:47:09.801744,1736,126.62287390,45.80107830,131.034,3.009,46.068,-0.302,32.962,-0.076,90.000,1.300,0.000,-30.000,4.478,0.000,0.224,-541.704,0.000,0.000,0.432,-0.460,0.000,1.000,0.000,0.000,0.993,0.000
2025-07-15 12:47:09.911846,1436,126.62287360,45.80107830,131.054,0.182,46.068,-0.396,32.938,-0.004,90.000,1.300,0.000,-30.000,4.657,0.000,0.296,-541.871,0.000,0.000,0.440,-0.452,0.000,1.000,0.000,0.000,0.993,0.000
2025-07-15 12:47:10.021949,1129,126.62287330,45.80107820,130.974,-0.727,46.057,-0.370,32.915,-0.030,90.000,1.300,0.000,-30.000,4.824,0.000,0.360,-541.871,0.000,0.000,0.446,-0.447,0.000,1.000,0.000,0.000,0.992,0.000
2025-07-15 12:47:10.132063,819,126.62287300,45.80107810,130.813,-1.464,46.046,-0.329,32.892,-0.042,90.000,1.300,0.000,-30.000,4.980,0.000,0.366,-541.871,0.000,0.000,0.447,-0.445,0.000,1.000,0.000,0.000,0.992,0.000
2025-07-15 12:47:10.242156,499,126.62287270,45.80107800,130.606,-1.865,46.035,-0.394,32.869,0.072,90.000,1.300,0.000,-30.000,5.135,0.000,0.368,-541.871,0.000,0.000,0.449,-0.444,0.000,1.000,0.000,0.000,0.992,0.000
2025-07-15 12:47:10.352277,1042,126.62287330,45.80107730,130.194,-3.745,45.957,-0.510,32.915,0.070,90.000,1.300,0.000,-30.000,5.290,0.000,0.416,-541.871,0.000,0.000,0.450,-0.443,0.000,1.000,0.000,0.000,0.992,0.000
2025-07-15 12:47:10.462359,1482,126.62287380,45.80107670,129.566,-5.709,45.890,-0.487,32.954,0.059,90.000,1.300,0.000,-30.000,5.437,0.000,0.469,-541.871,0.000,0.000,0.453,-0.440,0.000,1.000,0.000,0.000,0.992,0.000
2025-07-15 12:47:10.572468,1915,126.62287430,45.80107600,128.417,-10.445,45.812,-0.642,32.993,0.153,90.000,1.300,0.000,-30.000,5.575,0.000,0.555,-541.871,0.000,0.000,0.456,-0.436,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:10.682577,2258,126.62287470,45.80107540,127.143,-11.582,45.746,-0.661,33.024,0.121,90.000,1.300,0.000,-30.000,5.699,0.000,0.608,-541.871,0.000,0.000,0.465,-0.428,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:10.792680,2491,126.62287500,45.80107470,125.628,-13.773,45.668,-0.846,33.047,0.243,90.000,1.300,0.000,-30.000,5.814,0.000,0.737,-541.871,0.000,0.000,0.467,-0.425,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:10.902788,2634,126.62287520,45.80107410,124.491,-10.336,45.601,-0.856,33.062,0.185,90.000,1.300,0.000,-30.000,5.908,0.000,0.809,-541.871,0.000,0.000,0.471,-0.421,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:11.012967,2854,126.62287550,45.80107330,123.317,-10.673,45.512,-0.760,33.086,0.344,90.000,1.300,0.000,-30.000,5.989,0.000,0.863,-541.815,0.000,0.000,0.465,-0.427,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:11.123159,2984,126.62287570,45.80107260,122.200,-10.063,45.434,-0.734,33.101,0.329,90.000,1.300,0.000,-30.000,6.062,0.000,0.838,-541.815,0.000,0.000,0.466,-0.427,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:11.233101,3004,126.62287580,45.80107190,120.884,-11.964,45.356,-0.690,33.109,0.327,90.000,1.300,0.000,-30.000,6.138,0.000,0.801,-541.815,0.000,0.000,0.465,-0.428,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:11.343212,3914,126.62287680,45.80107090,119.127,-15.973,45.245,-0.851,33.186,0.459,90.000,1.300,0.000,-30.000,6.221,0.000,0.845,-541.815,0.000,0.000,0.468,-0.424,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:11.453299,4727,126.62287770,45.80107000,117.498,-14.809,45.145,-0.880,33.256,0.409,90.000,1.300,0.000,-30.000,6.297,0.000,0.900,-541.871,0.000,0.000,0.475,-0.417,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:11.563403,5617,126.62287870,45.80106890,115.631,-16.973,45.023,-0.871,33.334,0.590,90.000,1.300,0.000,-30.000,6.363,0.000,0.996,-541.871,0.000,0.000,0.473,-0.419,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:11.673529,6190,126.62287940,45.80106790,113.928,-15.482,44.912,-0.895,33.388,0.575,90.000,1.300,0.000,-30.000,6.414,0.000,1.029,-541.871,0.000,0.000,0.477,-0.415,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:11.783623,6990,126.62288030,45.80106690,111.970,-17.800,44.800,-0.824,33.458,0.666,90.000,1.300,0.000,-30.000,6.459,0.000,1.058,-541.871,0.000,0.000,0.475,-0.418,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:11.893735,7690,126.62288110,45.80106590,110.269,-15.464,44.689,-0.834,33.520,0.657,90.000,1.300,0.000,-30.000,6.499,0.000,1.062,-541.871,0.000,0.000,0.479,-0.414,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:12.003819,8380,126.62288190,45.80106480,108.362,-17.336,44.567,-0.816,33.582,0.717,90.000,1.300,0.000,-28.997,6.539,0.000,1.069,-541.871,0.000,0.000,0.475,-0.418,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:12.113930,9090,126.62288270,45.80106390,106.504,-16.891,44.467,-0.835,33.644,0.703,90.000,1.300,0.000,-26.348,6.577,0.000,1.080,-541.871,0.000,0.000,0.485,-0.407,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:12.224045,9770,126.62288350,45.80106280,104.103,-21.827,44.345,-0.861,33.706,0.689,90.000,1.300,0.000,-23.121,6.614,0.000,1.094,-541.871,0.000,0.000,0.499,-0.391,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:12.334224,1203,126.62288500,45.80106200,101.997,-18.973,44.256,-0.765,33.822,0.936,90.000,1.300,0.000,-19.128,6.648,0.000,1.134,-541.871,0.000,0.000,0.520,-0.368,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:12.444232,2813,126.62288670,45.80106110,99.964,-18.482,44.156,-0.826,33.954,0.858,90.000,1.300,0.000,-15.680,6.675,0.000,1.168,-545.648,0.000,0.000,0.533,-0.352,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:12.554358,4223,126.62288820,45.80106020,95.851,-18.482,44.055,-0.638,34.070,0.939,90.000,1.300,0.000,-12.713,6.697,0.000,1.178,-545.648,0.000,0.000,0.542,-0.341,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:12.664457,5623,126.62288970,45.80105920,94.559,-11.741,43.944,-0.670,34.186,0.887,90.000,1.300,0.000,-7.164,6.718,0.000,1.146,-545.648,0.000,0.000,0.606,-0.262,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:12.774564,6843,126.62289100,45.80105840,93.361,-10.888,43.855,-0.507,34.287,0.996,90.000,1.300,0.000,-4.978,6.743,0.000,1.121,-545.648,0.000,0.000,0.613,-0.251,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:12.884672,8253,126.62289250,45.80105750,92.001,-12.371,43.755,-0.539,34.404,0.964,90.000,1.300,0.000,-3.629,6.773,0.000,1.111,-545.648,0.000,0.000,0.611,-0.253,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:12.994774,9463,126.62289380,45.80105670,91.110,-8.095,43.666,-0.594,34.504,1.008,90.000,1.300,0.000,-2.222,6.804,0.000,1.131,-559.371,0.000,0.000,0.622,-0.238,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:13.104887,673,126.62289510,45.80105570,90.451,-5.988,43.555,-0.679,34.605,0.929,90.000,1.300,0.000,-1.243,6.832,0.000,1.142,-559.371,0.000,0.000,0.629,-0.227,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:13.224985,1673,126.62289620,45.80105470,90.034,-3.477,43.444,-0.739,34.690,0.844,90.000,1.300,0.000,-0.551,6.859,0.000,1.147,-559.371,0.000,0.000,0.633,-0.219,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:13.335099,2763,126.62289740,45.80105360,89.632,-3.626,43.322,-0.212,34.783,1.015,90.000,1.300,0.000,-0.111,6.884,0.000,1.103,-559.371,0.000,0.000,0.635,-0.215,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:13.445186,3680,126.62289840,45.80105280,89.423,-1.903,43.233,-0.213,34.861,0.989,90.000,1.300,0.000,0.275,6.917,0.000,1.057,-567.704,0.000,0.000,0.635,-0.212,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:13.555313,4810,126.62289960,45.80105210,89.210,-1.928,43.155,-0.213,34.954,1.092,90.000,1.300,0.000,0.499,6.957,0.000,1.054,-567.704,0.000,0.000,0.634,-0.212,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:13.665485,5850,126.62290070,45.80105150,89.014,-1.788,43.088,-0.251,35.039,1.075,90.000,1.300,0.000,0.703,6.998,0.000,1.076,-567.704,0.000,0.000,0.632,-0.213,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:13.775521,6983,126.62290190,45.80105080,88.914,-0.904,43.010,-0.214,35.132,1.070,90.000,1.300,0.000,0.894,7.035,0.000,1.103,-567.704,0.000,0.000,0.628,-0.216,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:13.885619,8010,126.62290300,45.80105010,88.857,-0.522,42.932,-0.256,35.217,1.053,90.000,1.300,0.000,1.009,7.068,0.000,1.093,-567.704,0.000,0.000,0.624,-0.219,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:13.995723,9150,126.62290420,45.80104950,88.713,-1.311,42.866,-0.102,35.310,1.095,90.000,1.300,0.000,1.081,7.102,0.000,1.092,-568.148,0.000,0.000,0.619,-0.224,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:14.105831,300,126.62290540,45.80104900,88.507,-1.871,42.810,-0.087,35.404,1.104,90.000,1.300,0.000,1.220,7.137,0.000,1.097,-568.148,0.000,0.000,0.613,-0.229,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:14.215934,1533,126.62290670,45.80104830,88.459,-0.433,42.732,-0.083,35.504,1.103,90.000,1.300,0.000,1.426,7.171,0.000,1.104,-568.148,0.000,0.000,0.604,-0.237,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:14.326040,2993,126.62290810,45.80104890,88.326,-1.215,42.799,-0.089,35.613,1.135,90.000,1.300,0.000,1.520,7.203,0.000,1.117,-568.148,0.000,0.000,0.596,-0.244,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:14.436127,4873,126.62290990,45.80104970,88.240,-0.776,42.888,-0.122,35.752,1.135,90.000,1.300,0.000,1.672,7.234,0.000,1.129,-568.148,0.000,0.000,0.586,-0.254,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:14.546251,6543,126.62291150,45.80105040,88.182,-0.522,42.966,-0.051,35.876,1.141,90.000,1.300,0.000,1.802,7.262,0.000,1.141,-568.148,0.000,0.000,0.575,-0.263,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:14.656338,8313,126.62291320,45.80105110,88.090,-0.834,43.044,-0.045,36.008,1.097,90.000,1.300,0.000,1.909,7.289,0.000,1.127,-568.148,0.000,0.000,0.564,-0.274,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:14.766467,73,126.62291490,45.80105170,88.029,-0.560,43.110,-0.016,36.140,1.233,90.000,1.300,0.000,2.048,7.317,0.000,1.158,-568.148,0.000,0.000,0.552,-0.285,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:14.876559,1616,126.62291640,45.80105210,88.039,0.089,43.155,-0.046,36.256,1.288,90.000,1.300,0.000,2.174,7.341,0.000,1.207,-568.148,0.000,0.000,0.539,-0.297,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:14.986663,3456,126.62291820,45.80105250,88.183,1.311,43.199,0.010,36.396,1.135,90.000,1.300,0.000,2.236,7.356,0.000,1.219,-570.982,0.000,0.000,0.528,-0.307,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:15.096789,5093,126.62291980,45.80105290,88.346,1.483,43.244,0.004,36.520,1.117,90.000,1.300,0.000,2.153,7.370,0.000,1.180,-570.982,0.000,0.000,0.521,-0.314,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:15.206940,6933,126.62292160,45.80105330,88.426,0.725,43.288,0.030,36.659,1.104,90.000,1.300,0.000,2.007,7.390,0.000,1.119,-570.982,0.000,0.000,0.516,-0.320,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:15.316980,8473,126.62292310,45.80105370,88.398,-0.248,43.333,-0.047,36.776,1.180,90.000,1.300,0.000,1.918,7.420,0.000,1.134,-570.982,0.000,0.000,0.511,-0.325,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:15.427077,423,126.62292500,45.80105430,88.389,-0.083,43.399,-0.045,36.923,1.202,90.000,1.300,0.000,1.941,7.447,0.000,1.163,-571.093,0.000,0.000,0.504,-0.331,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:15.537185,2173,126.62292670,45.80105470,88.517,1.154,43.444,0.020,37.055,1.177,90.000,1.300,0.000,1.978,7.470,0.000,1.187,-571.093,0.000,0.000,0.498,-0.338,0.000,1.000,0.000,0.000,0.991,0.000
2025-07-15 12:47:15.647307,4113,126.62292860,45.80105510,88.765,2.246,43.488,-0.001,37.202,1.172,90.000,1.300,0.000,1.885,7.489,0.000,1.184,-571.093,0.000,0.000,0.494,-0.341,0.000,1.000,0.000,0.000,0.991,0.000
