时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-08 14:06:59.082628,6111,126.62278790,45.80088190,-104.680,0.000,24.229,-0.688,26.295,-0.252,0.000,0.000,0.000,0.000,0.000,0.000,0.733,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:06:59.192054,5841,126.62278770,45.80088120,-104.493,1.712,24.152,-0.676,26.279,-0.279,0.000,0.000,0.000,0.000,0.000,0.000,0.731,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:06:59.302098,5371,126.62278730,45.80088050,-104.390,0.930,24.074,-0.712,26.248,-0.317,0.000,0.000,0.000,0.000,0.000,0.000,0.779,-3.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:06:59.412330,5014,126.62278700,45.80087990,-104.456,-0.600,24.007,-0.764,26.225,-0.330,0.000,0.000,0.000,0.000,0.000,0.000,0.832,-3.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:06:59.522335,4531,126.62278660,45.80087910,-104.664,-1.893,23.918,-0.757,26.194,-0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.773,-3.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:06:59.632435,4251,126.62278640,45.80087830,-104.846,-1.653,23.829,-0.695,26.179,-0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.714,-3.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:06:59.742546,3868,126.62278610,45.80087750,-104.973,-1.156,23.740,-0.686,26.155,-0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.697,-3.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:06:59.852636,3698,126.62278600,45.80087680,-105.003,-0.273,23.662,-0.624,26.148,-0.253,0.000,0.000,0.000,0.000,0.000,0.000,0.673,-3.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:06:59.962739,3428,126.62278580,45.80087610,-104.992,0.098,23.584,-0.569,26.132,-0.279,0.000,0.000,0.000,0.000,0.000,0.000,0.634,-3.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:00.072905,3058,126.62278550,45.80087540,-104.959,0.300,23.507,-0.580,26.109,-0.316,0.000,0.000,0.000,0.000,0.000,0.000,0.660,-3.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:00.183036,2685,126.62278520,45.80087470,-104.952,0.065,23.429,-0.560,26.086,-0.178,0.000,0.000,0.000,0.000,0.000,0.000,0.588,-3.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:00.293040,2318,126.62278490,45.80087400,-105.014,-0.562,23.351,-0.575,26.062,-0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.603,-2.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:00.403162,1948,126.62278460,45.80087330,-105.173,-1.432,23.273,-0.591,26.039,-0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.612,-2.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:00.513283,1558,126.62278430,45.80087250,-105.400,-2.067,23.184,-0.592,26.016,-0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.605,-2.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:00.623391,1328,126.62278410,45.80087210,-105.518,-1.075,23.140,-0.576,26.000,-0.217,0.000,0.000,0.000,0.000,0.000,0.000,0.616,-2.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:00.733485,968,126.62278380,45.80087150,-105.622,-0.944,23.073,-0.578,25.977,-0.209,0.000,0.000,0.000,0.000,0.000,0.000,0.615,-0.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:00.843587,725,126.62278360,45.80087110,-105.718,-0.873,23.028,-0.540,25.962,-0.254,0.000,0.000,0.000,0.000,0.000,0.000,0.597,-0.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:00.953711,368,126.62278330,45.80087050,-105.841,-1.118,22.962,-0.535,25.938,-0.280,0.000,0.000,0.000,0.000,0.000,0.000,0.604,-0.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:01.063804,18,126.62278300,45.80087000,-105.944,-0.938,22.906,-0.535,25.915,-0.302,0.000,0.000,0.000,0.000,0.000,0.000,0.614,-0.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:01.173912,9665,126.62278270,45.80086950,-106.040,-0.867,22.851,-0.561,25.892,-0.210,0.000,0.000,0.000,0.000,0.000,0.000,0.599,-0.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:01.284004,9318,126.62278240,45.80086900,-106.101,-0.556,22.795,-0.572,25.869,-0.192,0.000,0.000,0.000,0.000,0.000,0.000,0.603,-0.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:01.394125,8955,126.62278210,45.80086840,-106.149,-0.432,22.728,-0.573,25.845,-0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.597,-0.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:01.504225,8605,126.62278180,45.80086790,-106.195,-0.420,22.673,-0.501,25.822,-0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.546,-0.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:01.614312,8065,126.62278130,45.80086750,-106.280,-0.775,22.628,-0.477,25.783,-0.272,0.000,0.000,0.000,0.000,0.000,0.000,0.549,-0.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:01.724441,7625,126.62278090,45.80086710,-106.424,-1.309,22.584,-0.492,25.752,-0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.576,-0.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:01.834538,6975,126.62278030,45.80086660,-106.712,-2.618,22.528,-0.496,25.706,-0.239,0.000,0.000,0.000,0.000,0.000,0.000,0.551,-0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:01.944658,6535,126.62277990,45.80086620,-106.982,-2.455,22.484,-0.502,25.675,-0.226,0.000,0.000,0.000,0.000,0.000,0.000,0.551,-0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:02.054749,5985,126.62277940,45.80086570,-107.146,-1.484,22.428,-0.552,25.636,-0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.579,-0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:02.174874,5625,126.62277910,45.80086520,-107.146,0.000,22.372,-0.530,25.613,-0.151,0.000,0.000,0.000,0.000,0.000,0.000,0.551,-0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:02.284963,5182,126.62277870,45.80086470,-107.102,0.393,22.317,-0.388,25.582,-0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.437,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:02.395069,4842,126.62277840,45.80086430,-107.156,-0.485,22.272,-0.392,25.558,-0.206,0.000,0.000,0.000,0.000,0.000,0.000,0.443,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:02.505184,4405,126.62277800,45.80086390,-107.284,-1.151,22.228,-0.453,25.527,-0.308,0.000,0.000,0.000,0.000,0.000,0.000,0.548,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:02.615289,3865,126.62277750,45.80086350,-107.565,-2.558,22.183,-0.490,25.489,-0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.566,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:02.725397,3225,126.62277690,45.80086310,-107.924,-3.262,22.139,-0.510,25.442,-0.310,0.000,0.000,0.000,0.000,0.000,0.000,0.597,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:02.835563,2685,126.62277640,45.80086270,107.824,-3.262,22.094,-0.459,25.403,-0.203,0.000,0.000,0.000,0.000,0.000,0.000,0.502,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:02.945610,2032,126.62277580,45.80086220,107.682,-1.287,22.039,-0.429,25.357,-0.194,0.000,0.000,0.000,0.000,0.000,0.000,0.471,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:03.055696,1602,126.62277540,45.80086190,107.633,-0.442,22.005,-0.373,25.326,-0.153,0.000,0.000,0.000,0.000,0.000,0.000,0.403,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:03.165809,1062,126.62277490,45.80086150,107.556,-0.704,21.961,-0.437,25.287,-0.214,0.000,0.000,0.000,0.000,0.000,0.000,0.487,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:03.275898,722,126.62277460,45.80086110,107.427,-1.173,21.917,-0.439,25.264,-0.187,0.000,0.000,0.000,0.000,0.000,0.000,0.477,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:03.386014,385,126.62277430,45.80086070,107.197,-2.095,21.872,-0.457,25.241,-0.203,0.000,0.000,0.000,0.000,0.000,0.000,0.500,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:03.496129,9935,126.62277390,45.80086030,106.920,-2.492,21.828,-0.484,25.210,-0.255,-90.000,0.700,0.000,0.000,0.000,0.000,0.547,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:03.606307,9405,126.62277340,45.80085990,177.613,-2.492,21.783,-0.448,25.171,-0.266,-90.000,0.700,0.000,30.000,0.994,0.000,0.521,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:03.716378,8765,126.62277280,45.80085950,177.132,-4.373,21.739,-0.431,25.124,-0.298,-90.000,0.700,0.000,30.000,0.417,0.000,0.524,-0.278,0.000,0.000,2.221,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:03.826431,8232,126.62277230,45.80085920,176.959,-1.573,21.705,-0.393,25.086,-0.110,-90.000,0.700,0.000,30.000,0.321,0.000,0.408,6.889,0.000,0.000,1.161,-1.060,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:03.936565,7689,126.62277180,45.80085880,176.888,-0.645,21.661,-0.367,25.047,-0.056,-90.000,0.700,0.000,30.000,1.073,0.000,0.371,6.889,0.000,0.000,1.110,-1.110,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:04.046657,7252,126.62277140,45.80085850,176.817,-0.645,21.627,-0.384,25.016,-0.126,-90.000,0.700,0.000,30.000,0.833,0.000,0.404,6.889,0.000,0.000,1.109,-1.112,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:04.156767,6932,126.62277110,45.80085820,176.691,-1.145,21.594,-0.379,24.993,-0.289,-90.000,0.700,0.000,30.000,0.540,0.000,0.477,6.889,0.000,0.000,1.109,-1.112,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:04.266847,6595,126.62277080,45.80085790,176.536,-1.409,21.561,-0.387,24.969,-0.321,-90.000,0.700,0.000,30.000,0.317,0.000,0.503,28.389,0.000,0.000,1.108,-1.112,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:04.376970,6165,126.62277040,45.80085750,176.298,-2.164,21.516,-0.413,24.938,-0.376,-90.000,0.700,0.000,30.000,0.537,0.000,0.559,28.389,0.000,0.000,1.108,-1.113,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:04.487076,5635,126.62276990,45.80085720,176.127,-1.555,21.483,-0.429,24.900,-0.402,-90.000,0.700,0.000,30.000,0.362,0.000,0.588,28.389,0.000,0.000,1.107,-1.114,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:04.597204,5392,126.62276970,45.80085680,175.806,-2.892,21.438,-0.381,24.884,-0.174,-90.000,0.700,0.000,30.000,0.469,0.000,0.419,28.389,0.000,0.000,1.107,-1.113,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:04.707274,5149,126.62276950,45.80085640,175.612,-1.764,21.394,-0.360,24.869,-0.152,-90.000,0.700,0.000,30.000,1.648,0.000,0.391,28.389,0.000,0.000,1.105,-1.116,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:04.817372,5019,126.62276940,45.80085610,175.551,-0.555,21.361,-0.339,24.861,-0.179,-90.000,0.700,0.000,30.000,1.112,0.000,0.383,28.500,0.000,0.000,1.107,-1.114,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:04.927501,4789,126.62276920,45.80085580,175.585,0.309,21.327,-0.327,24.845,-0.175,-90.000,0.700,0.000,30.000,1.098,0.000,0.371,28.500,0.000,0.000,1.109,-1.112,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:05.037614,4562,126.62276900,45.80085550,175.613,0.255,21.294,-0.340,24.830,-0.232,-90.000,0.700,0.000,30.000,1.209,0.000,0.412,28.500,0.000,0.000,1.111,-1.110,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:05.147704,4332,126.62276880,45.80085520,175.605,-0.073,21.260,-0.350,24.814,-0.253,-90.000,0.700,0.000,30.000,0.979,0.000,0.432,28.500,0.000,0.000,1.111,-1.110,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:05.257795,3989,126.62276850,45.80085480,175.491,-1.036,21.216,-0.307,24.791,-0.195,-90.000,0.700,0.000,30.000,1.105,0.000,0.364,28.555,0.000,0.000,1.110,-1.110,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:05.367908,3759,126.62276830,45.80085450,175.277,-1.945,21.183,-0.318,24.775,-0.182,-90.000,0.700,0.000,30.000,1.668,0.000,0.366,28.555,0.000,0.000,1.109,-1.112,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:05.478109,3519,126.62276810,45.80085410,174.974,-2.755,21.138,-0.309,24.760,-0.168,-90.000,0.700,0.000,30.000,1.416,0.000,0.352,28.555,0.000,0.000,1.107,-1.114,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:05.588131,3289,126.62276790,45.80085380,174.813,-1.450,21.105,-0.305,24.744,-0.186,-90.000,0.700,0.000,30.000,1.590,0.000,0.357,28.555,0.000,0.000,1.105,-1.115,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:05.698704,3059,126.62276770,45.80085350,174.842,0.264,21.071,-0.279,24.729,-0.207,-90.000,0.700,0.000,30.000,1.567,0.000,0.347,28.555,0.000,0.000,1.108,-1.113,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:05.808706,2729,126.62276740,45.80085320,174.990,1.345,21.038,-0.275,24.706,-0.180,-90.000,0.700,0.000,30.000,1.727,0.000,0.329,28.722,0.000,0.000,1.111,-1.110,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:05.918818,2499,126.62276720,45.80085290,175.033,0.391,21.005,-0.288,24.690,-0.173,-90.000,0.700,0.000,30.000,1.874,0.000,0.336,28.722,0.000,0.000,1.113,-1.108,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:06.028937,2269,126.62276700,45.80085260,174.916,-1.064,20.971,-0.281,24.675,-0.207,-90.000,0.700,0.000,30.000,1.826,0.000,0.349,28.722,0.000,0.000,1.111,-1.110,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:06.139006,1939,126.62276670,45.80085240,174.786,-1.182,20.949,-0.255,24.651,-0.221,-90.000,0.700,0.000,30.000,1.861,0.000,0.337,28.722,0.000,0.000,1.109,-1.112,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:06.249139,1619,126.62276640,45.80085210,174.748,-0.342,20.916,-0.285,24.628,-0.232,-90.000,0.700,0.000,30.000,2.067,0.000,0.367,28.722,0.000,0.000,1.108,-1.113,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:06.368904,1299,126.62276610,45.80085190,174.807,0.496,20.894,-0.266,24.605,-0.248,-90.000,0.700,0.000,30.000,1.913,0.000,0.364,28.722,0.000,0.000,1.110,-1.111,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:06.479034,979,126.62276580,45.80085170,174.902,0.864,20.871,-0.244,24.582,-0.241,-90.000,0.700,0.000,30.000,2.144,0.000,0.343,28.722,0.000,0.000,1.111,-1.110,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:06.589115,839,126.62276570,45.80085130,174.922,0.180,20.827,-0.322,24.574,-0.145,-90.000,0.700,0.000,30.000,2.334,0.000,0.353,28.722,0.000,0.000,1.112,-1.109,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:06.699201,719,126.62276560,45.80085110,174.925,0.027,20.805,-0.300,24.566,-0.124,-90.000,0.700,0.000,30.000,2.257,0.000,0.325,28.722,0.000,0.000,1.111,-1.110,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:06.819305,592,126.62276550,45.80085080,175.058,1.108,20.771,-0.388,24.558,-0.237,-90.000,0.700,0.000,30.000,2.552,0.000,0.455,28.555,0.000,0.000,1.110,-1.110,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:06.939428,462,126.62276540,45.80085050,175.409,2.925,20.738,-0.358,24.551,-0.291,-90.000,0.700,0.000,30.000,1.769,0.000,0.461,28.555,0.000,0.000,1.112,-1.108,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:07.059538,129,126.62276510,45.80085020,175.905,4.133,20.704,-0.290,24.527,-0.223,-90.000,0.700,0.000,30.000,2.331,0.000,0.366,28.555,0.000,0.000,1.116,-1.105,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:07.179644,9699,126.62276470,45.80085000,176.481,4.800,20.682,-0.355,24.496,-0.061,-90.000,0.700,0.000,30.000,2.957,0.000,0.360,28.555,0.000,0.000,1.119,-1.102,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:07.299760,9379,126.62276440,45.80084970,176.939,3.817,20.649,-0.329,24.473,-0.045,-90.000,0.700,0.000,30.000,2.672,0.000,0.332,28.555,0.000,0.000,1.120,-1.101,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:07.419916,9156,126.62276420,45.80084950,177.424,4.042,20.627,-0.287,24.458,-0.028,-90.000,0.700,0.000,30.000,2.889,0.000,0.288,28.555,0.000,0.000,1.118,-1.103,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:07.539995,8929,126.62276400,45.80084920,178.136,5.933,20.593,-0.361,24.442,-0.139,-90.000,0.700,0.000,30.000,3.108,0.000,0.387,28.555,0.000,0.000,1.118,-1.102,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:07.660107,8779,126.62276390,45.80084870,179.077,7.777,20.538,-0.361,24.434,-0.122,-90.000,0.700,0.000,30.000,2.467,0.000,0.381,28.555,0.000,0.000,1.122,-1.099,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:07.780213,8529,126.62276370,45.80084820,-179.737,7.777,20.482,-0.370,24.419,-0.100,-90.000,0.700,0.000,30.000,2.985,0.000,0.383,28.555,0.000,0.000,1.126,-1.095,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:07.890331,8279,126.62276350,45.80084770,-178.607,10.273,20.427,-0.353,24.403,-0.119,-90.000,0.700,0.000,30.000,3.025,-0.000,0.373,28.555,0.000,0.000,1.126,-1.095,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:08.000424,8152,126.62276340,45.80084740,-177.551,9.600,20.393,-0.398,24.396,-0.077,-90.000,0.700,0.000,30.000,3.175,0.000,0.405,28.555,0.000,0.000,1.129,-1.092,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:08.110536,7809,126.62276310,45.80084700,-176.205,12.236,20.349,-0.362,24.372,-0.095,-90.000,0.700,0.000,30.000,3.000,0.000,0.374,28.555,0.000,0.000,1.128,-1.093,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:08.220648,7579,126.62276290,45.80084670,-174.949,11.418,20.315,-0.361,24.357,-0.016,-90.000,0.700,0.000,30.000,3.395,0.000,0.361,28.555,0.000,0.000,1.133,-1.088,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:08.330746,7449,126.62276280,45.80084640,-173.506,13.118,20.282,-0.329,24.349,0.015,-90.000,0.700,0.000,30.000,3.418,0.000,0.329,28.555,0.000,0.000,1.131,-1.089,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:08.440860,7316,126.62276270,45.80084610,-172.172,12.127,20.249,-0.284,24.341,0.036,-90.000,0.700,0.000,30.000,3.620,0.000,0.286,28.555,0.000,0.000,1.134,-1.087,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:08.550967,7279,126.62276270,45.80084570,-170.713,13.264,20.204,-0.370,24.341,-0.051,-90.000,0.700,0.000,30.000,3.817,0.000,0.373,28.555,0.000,0.000,1.133,-1.088,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:08.661078,7229,126.62276270,45.80084520,-168.731,18.018,20.149,-0.386,24.341,-0.074,-90.000,0.700,0.000,30.000,3.185,0.000,0.393,28.555,0.000,0.000,1.135,-1.086,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:08.771155,7282,126.62276280,45.80084470,-166.846,16.982,20.093,-0.462,24.349,-0.014,-90.000,0.700,0.000,30.000,3.535,0.000,0.462,28.500,0.000,0.000,1.143,-1.078,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:08.881290,7342,126.62276290,45.80084430,-164.555,20.827,20.048,-0.418,24.357,0.021,-90.000,0.700,0.000,30.000,3.273,0.000,0.419,28.500,0.000,0.000,1.142,-1.079,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:08.991387,7392,126.62276300,45.80084390,-162.527,18.436,20.004,-0.477,24.365,-0.005,-90.000,0.700,0.000,30.000,3.904,0.000,0.477,28.500,0.000,0.000,1.148,-1.073,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:09.101494,7462,126.62276310,45.80084350,-160.235,20.836,19.959,-0.475,24.372,0.036,-90.000,0.700,0.000,30.000,3.414,0.000,0.476,28.500,0.000,0.000,1.144,-1.076,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:09.211593,7625,126.62276330,45.80084310,-158.255,18.000,19.915,-0.514,24.388,-0.061,-90.000,0.700,0.000,30.000,3.733,0.000,0.518,28.500,0.000,0.000,1.148,-1.072,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:09.321697,7775,126.62276350,45.80084270,-155.936,21.082,19.871,-0.508,24.403,-0.045,-90.000,0.700,0.000,30.000,3.530,0.000,0.510,28.278,0.000,0.000,1.144,-1.077,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:09.431813,7942,126.62276370,45.80084230,-153.833,19.118,19.826,-0.492,24.419,-0.025,-90.000,0.700,0.000,30.000,3.803,0.000,0.493,28.278,0.000,0.000,1.149,-1.072,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:09.541915,7995,126.62276380,45.80084180,-151.390,22.209,19.770,-0.557,24.427,-0.038,-90.000,0.700,0.000,30.000,3.915,0.000,0.558,28.278,0.000,0.000,1.146,-1.075,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:09.652097,7815,126.62276370,45.80084100,-149.247,19.306,19.682,-0.533,24.419,-0.025,-90.000,0.700,0.000,30.000,3.485,0.000,0.534,28.278,0.000,0.000,1.151,-1.070,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:09.762104,7738,126.62276370,45.80084020,-146.767,22.545,19.593,-0.604,24.419,-0.125,-90.000,0.700,0.000,30.000,3.964,0.000,0.617,28.167,0.000,0.000,1.146,-1.074,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:09.872228,7668,126.62276370,45.80083950,-144.589,19.800,19.515,-0.616,24.419,-0.096,-90.000,0.700,0.000,30.000,3.385,0.000,0.623,28.167,0.000,0.000,1.151,-1.069,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:09.982335,7588,126.62276370,45.80083870,-142.207,21.655,19.426,-0.639,24.419,-0.175,-90.000,0.700,0.000,30.000,3.742,0.000,0.663,28.167,0.000,0.000,1.147,-1.074,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:10.092441,7618,126.62276380,45.80083800,-140.175,18.473,19.348,-0.657,24.427,-0.144,-90.000,0.700,0.000,30.000,3.553,0.000,0.673,28.167,0.000,0.000,1.150,-1.071,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:10.202547,7628,126.62276390,45.80083710,-137.868,20.973,19.248,-0.599,24.434,-0.232,-90.000,0.700,0.000,30.000,3.678,0.000,0.642,28.167,0.000,0.000,1.145,-1.076,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:10.312641,7558,126.62276390,45.80083640,-135.845,18.391,19.170,-0.607,24.434,-0.195,-90.000,0.700,0.000,30.000,3.912,0.000,0.638,27.555,0.000,0.000,1.149,-1.072,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:10.422759,7678,126.62276410,45.80083560,-133.461,21.673,19.081,-0.602,24.450,-0.159,-90.000,0.700,0.000,30.000,3.817,0.000,0.623,27.555,0.000,0.000,1.144,-1.076,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:10.532878,7508,126.62276400,45.80083490,-131.079,21.655,19.003,-0.611,24.442,-0.241,-90.000,0.700,0.000,30.000,3.898,0.000,0.657,27.555,0.000,0.000,1.150,-1.071,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:07:10.642978,6731,126.62276330,45.80083410,-128.442,23.973,18.914,-0.670,24.388,-0.283,-90.000,0.700,0.000,30.000,3.641,0.000,0.727,27.555,0.000,0.000,1.150,-1.071,0.000,1.000,0.000,0.000,1.000,0.000
